Algorithm,Mapping,Processes,Latency
Bruck,core,2,0.19
Bruck,core,6,1.30
Bruck,core,10,1.67
Bruck,core,14,1.81
Bruck,core,18,2.85
Bruck,core,22,3.26
Bruck,core,26,4.27
Bruck,core,30,3.28
Bruck,core,34,3.57
Bruck,core,38,4.58
Bruck,core,42,3.49
Bruck,core,46,3.48
Bruck,core,50,3.71
Bruck,core,54,5.39
Bruck,core,58,3.80
Bruck,core,62,3.85
Bruck,core,66,5.55
Bruck,core,70,5.70
Bruck,core,74,5.73
Bruck,core,78,6.08
Bruck,core,82,6.28
Bruck,core,86,6.09
Bruck,core,90,6.32
Bruck,core,94,6.76
Bruck,core,98,6.71
Bruck,core,102,6.44
Bruck,core,106,6.83
Bruck,core,110,6.62
Bruck,core,114,6.89
Bruck,core,118,6.83
Bruck,core,122,6.62
Bruck,core,126,7.79
Bruck,core,130,10.81
Bruck,core,134,9.86
Bruck,core,138,11.81
Bruck,core,142,13.08
Bruck,core,146,19.06
Bruck,core,150,18.63
Bruck,core,154,21.22
Bruck,core,158,25.04
Bruck,core,162,38.56
Bruck,core,166,30.18
Bruck,core,170,46.79
Bruck,core,174,37.56
Bruck,core,178,40.91
Bruck,core,182,53.81
Bruck,core,186,50.90
Bruck,core,190,62.87
Bruck,core,194,56.45
Bruck,core,198,59.28
Bruck,core,202,52.17
Bruck,core,206,47.52
Bruck,core,210,49.72
Bruck,core,214,57.72
Bruck,core,218,74.06
Bruck,core,222,49.79
Bruck,core,226,60.79
Bruck,core,230,50.48
Bruck,core,234,47.35
Bruck,core,238,42.37
Bruck,core,242,49.71
Bruck,core,246,49.50
Bruck,core,250,38.36
Bruck,core,254,38.34
Bruck,core,256,39.81
Bruck,socket,2,0.72
Bruck,socket,6,2.17
Bruck,socket,10,2.68
Bruck,socket,14,3.16
Bruck,socket,18,3.93
Bruck,socket,22,7.61
Bruck,socket,26,4.04
Bruck,socket,30,4.11
Bruck,socket,34,6.74
Bruck,socket,38,5.46
Bruck,socket,42,5.61
Bruck,socket,46,5.62
Bruck,socket,50,6.63
Bruck,socket,54,5.18
Bruck,socket,58,4.88
Bruck,socket,62,4.80
Bruck,socket,66,5.82
Bruck,socket,70,5.93
Bruck,socket,74,5.91
Bruck,socket,78,5.80
Bruck,socket,82,5.86
Bruck,socket,86,5.83
Bruck,socket,90,5.91
Bruck,socket,94,6.22
Bruck,socket,98,6.00
Bruck,socket,102,5.74
Bruck,socket,106,6.04
Bruck,socket,110,7.20
Bruck,socket,114,8.27
Bruck,socket,118,6.04
Bruck,socket,122,5.90
Bruck,socket,126,5.34
Bruck,socket,130,9.26
Bruck,socket,134,14.58
Bruck,socket,138,16.27
Bruck,socket,142,21.73
Bruck,socket,146,22.74
Bruck,socket,150,30.65
Bruck,socket,154,29.86
Bruck,socket,158,39.96
Bruck,socket,162,43.80
Bruck,socket,166,36.09
Bruck,socket,170,39.49
Bruck,socket,174,35.80
Bruck,socket,178,1804.25
Bruck,socket,182,48.78
Bruck,socket,186,42.51
Bruck,socket,190,42.87
Bruck,socket,194,45.62
Bruck,socket,198,2922.86
Bruck,socket,202,2185.10
Bruck,socket,206,750.10
Bruck,socket,210,281.46
Bruck,socket,214,61.49
Bruck,socket,218,490.40
Bruck,socket,222,2717.90
Bruck,socket,226,2682.34
Bruck,socket,230,62.48
Bruck,socket,234,62.16
Bruck,socket,238,3196.42
Bruck,socket,242,67.34
Bruck,socket,246,2623.42
Bruck,socket,250,114.80
Bruck,socket,254,3440.05
Bruck,socket,256,3498.66
