Algorithm,Mapping,Processes,Latency
Default,core,2,0.18
Default,core,6,1.05
Default,core,10,2.02
Default,core,14,2.29
Default,core,18,2.60
Default,core,22,2.92
Default,core,26,3.11
Default,core,30,3.07
Default,core,34,3.30
Default,core,38,3.51
Default,core,42,6.29
Default,core,46,3.77
Default,core,50,3.81
Default,core,54,3.88
Default,core,58,4.29
Default,core,62,3.85
Default,core,66,5.49
Default,core,70,5.38
Default,core,74,6.50
Default,core,78,5.45
Default,core,82,5.62
Default,core,86,5.62
Default,core,90,5.94
Default,core,94,6.09
Default,core,98,5.93
Default,core,102,5.63
Default,core,106,6.52
Default,core,110,5.68
Default,core,114,6.53
Default,core,118,5.84
Default,core,122,5.74
Default,core,126,6.23
Default,core,130,8.56
Default,core,134,11.49
Default,core,138,11.27
Default,core,142,12.11
Default,core,146,14.14
Default,core,150,19.21
Default,core,154,21.81
Default,core,158,21.91
Default,core,162,28.25
Default,core,166,39.35
Default,core,170,39.65
Default,core,174,38.16
Default,core,178,42.76
Default,core,182,46.79
Default,core,186,51.45
Default,core,190,53.74
Default,core,194,57.58
Default,core,198,51.94
Default,core,202,48.04
Default,core,206,49.57
Default,core,210,48.21
Default,core,214,45.96
Default,core,218,50.55
Default,core,222,46.64
Default,core,226,43.08
Default,core,230,43.25
Default,core,234,41.64
Default,core,238,40.80
Default,core,242,39.95
Default,core,246,39.75
Default,core,250,39.56
Default,core,254,41.44
Default,core,256,12.53
Default,socket,2,0.72
Default,socket,6,2.69
Default,socket,10,2.81
Default,socket,14,3.12
Default,socket,18,3.22
Default,socket,22,3.92
Default,socket,26,5.94
Default,socket,30,6.34
Default,socket,34,4.17
Default,socket,38,4.71
Default,socket,42,5.34
Default,socket,46,5.36
Default,socket,50,5.14
Default,socket,54,5.47
Default,socket,58,5.63
Default,socket,62,5.12
Default,socket,66,5.20
Default,socket,70,6.28
Default,socket,74,5.48
Default,socket,78,5.64
Default,socket,82,5.03
Default,socket,86,6.31
Default,socket,90,5.07
Default,socket,94,5.14
Default,socket,98,5.61
Default,socket,102,5.16
Default,socket,106,5.77
Default,socket,110,5.28
Default,socket,114,5.72
Default,socket,118,5.57
Default,socket,122,5.67
Default,socket,126,5.57
Default,socket,130,10.40
Default,socket,134,10.83
Default,socket,138,15.00
Default,socket,142,17.75
Default,socket,146,23.39
Default,socket,150,24.46
Default,socket,154,26.90
Default,socket,158,824.78
Default,socket,162,38.13
Default,socket,166,33.09
Default,socket,170,37.00
Default,socket,174,37.07
Default,socket,178,228.42
Default,socket,182,49.91
Default,socket,186,47.35
Default,socket,190,54.41
Default,socket,194,55.45
Default,socket,198,55.32
Default,socket,202,50.62
Default,socket,206,128.41
Default,socket,210,63.19
Default,socket,214,58.16
Default,socket,218,727.43
Default,socket,222,974.46
Default,socket,226,60.38
Default,socket,230,60.46
Default,socket,234,58.60
Default,socket,238,230.03
Default,socket,242,299.65
Default,socket,246,61.94
Default,socket,250,1032.68
Default,socket,254,374.61
Default,socket,256,13.86
