Algorithm,Mapping,Processes,Latency
DoubleRing,core,2,0.72
DoubleRing,core,6,4.24
DoubleRing,core,10,6.25
DoubleRing,core,14,9.30
DoubleRing,core,18,12.55
DoubleRing,core,22,14.46
DoubleRing,core,26,18.16
DoubleRing,core,30,19.70
DoubleRing,core,34,22.78
DoubleRing,core,38,28.76
DoubleRing,core,42,32.42
DoubleRing,core,46,32.92
DoubleRing,core,50,34.05
DoubleRing,core,54,39.53
DoubleRing,core,58,40.98
DoubleRing,core,62,44.64
DoubleRing,core,66,50.46
DoubleRing,core,70,54.73
DoubleRing,core,74,58.10
DoubleRing,core,78,62.82
DoubleRing,core,82,63.87
DoubleRing,core,86,61.84
DoubleRing,core,90,68.55
DoubleRing,core,94,66.11
DoubleRing,core,98,72.73
DoubleRing,core,102,74.31
DoubleRing,core,106,74.55
DoubleRing,core,110,79.03
DoubleRing,core,114,83.20
DoubleRing,core,118,86.81
DoubleRing,core,122,92.65
DoubleRing,core,126,92.31
DoubleRing,core,130,103.90
DoubleRing,core,134,107.02
DoubleRing,core,138,109.60
DoubleRing,core,142,114.90
DoubleRing,core,146,121.49
DoubleRing,core,150,122.14
DoubleRing,core,154,125.01
DoubleRing,core,158,124.92
DoubleRing,core,162,132.38
DoubleRing,core,166,132.02
DoubleRing,core,170,134.61
DoubleRing,core,174,135.39
DoubleRing,core,178,141.18
DoubleRing,core,182,142.68
DoubleRing,core,186,144.48
DoubleRing,core,190,152.06
DoubleRing,core,194,152.30
DoubleRing,core,198,157.23
DoubleRing,core,202,160.83
DoubleRing,core,206,163.98
DoubleRing,core,210,165.76
DoubleRing,core,214,170.60
DoubleRing,core,218,173.98
DoubleRing,core,222,170.82
DoubleRing,core,226,179.28
DoubleRing,core,230,179.32
DoubleRing,core,234,184.47
DoubleRing,core,238,185.61
DoubleRing,core,242,195.84
DoubleRing,core,246,195.30
DoubleRing,core,250,190.59
DoubleRing,core,254,203.16
DoubleRing,core,256,201.74
DoubleRing,socket,2,3.74
DoubleRing,socket,6,12.69
DoubleRing,socket,10,20.49
DoubleRing,socket,14,30.75
DoubleRing,socket,18,39.26
DoubleRing,socket,22,52.36
DoubleRing,socket,26,63.63
DoubleRing,socket,30,73.44
DoubleRing,socket,34,81.02
DoubleRing,socket,38,88.45
DoubleRing,socket,42,97.56
DoubleRing,socket,46,107.25
DoubleRing,socket,50,117.87
DoubleRing,socket,54,125.32
DoubleRing,socket,58,134.79
DoubleRing,socket,62,145.95
DoubleRing,socket,66,153.62
DoubleRing,socket,70,164.07
DoubleRing,socket,74,173.87
DoubleRing,socket,78,188.03
DoubleRing,socket,82,195.57
DoubleRing,socket,86,207.04
DoubleRing,socket,90,216.14
DoubleRing,socket,94,228.57
DoubleRing,socket,98,232.58
DoubleRing,socket,102,252.74
DoubleRing,socket,106,262.54
DoubleRing,socket,110,275.60
DoubleRing,socket,114,296.37
DoubleRing,socket,118,301.37
DoubleRing,socket,122,308.54
DoubleRing,socket,126,1536.19
DoubleRing,socket,130,1203.07
DoubleRing,socket,134,1088.41
DoubleRing,socket,138,1232.40
DoubleRing,socket,142,1568.09
DoubleRing,socket,146,1527.27
DoubleRing,socket,150,1272.37
DoubleRing,socket,154,1515.27
DoubleRing,socket,158,1229.33
DoubleRing,socket,162,672.66
DoubleRing,socket,166,1563.92
DoubleRing,socket,170,971.13
DoubleRing,socket,174,1452.17
DoubleRing,socket,178,1353.12
DoubleRing,socket,182,1219.42
DoubleRing,socket,186,1504.37
DoubleRing,socket,190,755.69
DoubleRing,socket,194,1537.84
DoubleRing,socket,198,1204.31
DoubleRing,socket,202,1565.43
DoubleRing,socket,206,1815.40
DoubleRing,socket,210,1510.99
DoubleRing,socket,214,1074.90
DoubleRing,socket,218,822.97
DoubleRing,socket,222,1501.51
DoubleRing,socket,226,1462.12
DoubleRing,socket,230,1503.30
DoubleRing,socket,234,1372.58
DoubleRing,socket,238,1645.76
DoubleRing,socket,242,847.04
DoubleRing,socket,246,913.47
DoubleRing,socket,250,1654.02
DoubleRing,socket,254,1906.49
DoubleRing,socket,256,1685.36
