Algorithm,Mapping,Processes,Latency
Linear,core,2,0.29
Linear,core,6,1.01
Linear,core,10,1.56
Linear,core,14,1.97
Linear,core,18,2.58
Linear,core,22,3.85
Linear,core,26,4.90
Linear,core,30,10.29
Linear,core,34,6.09
Linear,core,38,5.85
Linear,core,42,8.88
Linear,core,46,10.98
Linear,core,50,7.96
Linear,core,54,8.60
Linear,core,58,17.70
Linear,core,62,13.36
Linear,core,66,13.68
Linear,core,70,17.47
Linear,core,74,22.93
Linear,core,78,18.83
Linear,core,82,17.17
Linear,core,86,21.03
Linear,core,90,20.21
Linear,core,94,22.13
Linear,core,98,26.63
Linear,core,102,28.73
Linear,core,106,29.63
Linear,core,110,29.24
Linear,core,114,34.15
Linear,core,118,30.01
Linear,core,122,35.46
Linear,core,126,38.38
Linear,core,130,36.30
Linear,core,134,48.75
Linear,core,138,46.15
Linear,core,142,40.72
Linear,core,146,41.59
Linear,core,150,41.93
Linear,core,154,44.19
Linear,core,158,48.44
Linear,core,162,47.74
Linear,core,166,61.96
Linear,core,170,77.93
Linear,core,174,56.23
Linear,core,178,61.53
Linear,core,182,70.35
Linear,core,186,68.75
Linear,core,190,75.71
Linear,core,194,81.83
Linear,core,198,75.15
Linear,core,202,75.96
Linear,core,206,80.97
Linear,core,210,82.38
Linear,core,214,106.48
Linear,core,218,83.15
Linear,core,222,91.95
Linear,core,226,101.53
Linear,core,230,101.78
Linear,core,234,88.49
Linear,core,238,103.62
Linear,core,242,109.38
Linear,core,246,92.95
Linear,core,250,128.54
Linear,core,254,103.49
Linear,core,256,121.51
Linear,socket,2,1.39
Linear,socket,6,2.77
Linear,socket,10,3.28
Linear,socket,14,4.72
Linear,socket,18,6.74
Linear,socket,22,8.02
Linear,socket,26,9.01
Linear,socket,30,8.86
Linear,socket,34,10.70
Linear,socket,38,11.22
Linear,socket,42,12.45
Linear,socket,46,12.79
Linear,socket,50,15.68
Linear,socket,54,16.60
Linear,socket,58,16.86
Linear,socket,62,17.89
Linear,socket,66,18.52
Linear,socket,70,22.30
Linear,socket,74,19.75
Linear,socket,78,24.81
Linear,socket,82,27.92
Linear,socket,86,26.12
Linear,socket,90,26.09
Linear,socket,94,26.25
Linear,socket,98,31.73
Linear,socket,102,31.23
Linear,socket,106,32.03
Linear,socket,110,36.69
Linear,socket,114,36.28
Linear,socket,118,50.69
Linear,socket,122,39.11
Linear,socket,126,43.36
Linear,socket,130,43.51
Linear,socket,134,46.87
Linear,socket,138,45.19
Linear,socket,142,496.81
Linear,socket,146,58.00
Linear,socket,150,56.46
Linear,socket,154,517.19
Linear,socket,158,58.77
Linear,socket,162,69.60
Linear,socket,166,62.70
Linear,socket,170,3202.74
Linear,socket,174,1609.34
Linear,socket,178,2810.56
Linear,socket,182,595.93
Linear,socket,186,69.96
Linear,socket,190,2774.31
Linear,socket,194,290.50
Linear,socket,198,80.81
Linear,socket,202,658.30
Linear,socket,206,105.48
Linear,socket,210,3124.73
Linear,socket,214,605.60
Linear,socket,218,93.40
Linear,socket,222,2464.79
Linear,socket,226,846.67
Linear,socket,230,398.11
Linear,socket,234,120.06
Linear,socket,238,2647.55
Linear,socket,242,289.10
Linear,socket,246,578.22
Linear,socket,250,603.45
Linear,socket,254,2963.76
Linear,socket,256,3770.02
