Algorithm,Mapping,Processes,Latency
Tree,core,2,0.32
Tree,core,6,1.26
Tree,core,10,1.56
Tree,core,14,1.90
Tree,core,18,2.44
Tree,core,22,2.47
Tree,core,26,2.64
Tree,core,30,3.00
Tree,core,34,3.40
Tree,core,38,3.48
Tree,core,42,3.47
Tree,core,46,3.46
Tree,core,50,3.66
Tree,core,54,3.80
Tree,core,58,3.73
Tree,core,62,4.05
Tree,core,66,4.63
Tree,core,70,4.61
Tree,core,74,5.38
Tree,core,78,4.69
Tree,core,82,4.74
Tree,core,86,4.74
Tree,core,90,5.50
Tree,core,94,5.00
Tree,core,98,5.22
Tree,core,102,5.20
Tree,core,106,5.27
Tree,core,110,5.19
Tree,core,114,6.02
Tree,core,118,5.57
Tree,core,122,6.31
Tree,core,126,15.29
Tree,core,130,6.18
Tree,core,134,7.08
Tree,core,138,7.14
Tree,core,142,6.40
Tree,core,146,6.79
Tree,core,150,7.32
Tree,core,154,7.97
Tree,core,158,8.24
Tree,core,162,9.69
Tree,core,166,9.17
Tree,core,170,9.56
Tree,core,174,9.12
Tree,core,178,9.92
Tree,core,182,7.97
Tree,core,186,9.39
Tree,core,190,8.24
Tree,core,194,13.45
Tree,core,198,13.18
Tree,core,202,9.50
Tree,core,206,11.13
Tree,core,210,8.99
Tree,core,214,9.62
Tree,core,218,11.85
Tree,core,222,10.83
Tree,core,226,14.03
Tree,core,230,10.24
Tree,core,234,12.56
Tree,core,238,12.48
Tree,core,242,9.75
Tree,core,246,9.74
Tree,core,250,10.42
Tree,core,254,11.81
Tree,core,256,10.54
Tree,socket,2,1.35
Tree,socket,6,2.58
Tree,socket,10,3.43
Tree,socket,14,3.68
Tree,socket,18,3.62
Tree,socket,22,4.20
Tree,socket,26,5.20
Tree,socket,30,4.91
Tree,socket,34,5.92
Tree,socket,38,6.84
Tree,socket,42,5.95
Tree,socket,46,5.73
Tree,socket,50,6.10
Tree,socket,54,5.97
Tree,socket,58,7.69
Tree,socket,62,7.96
Tree,socket,66,6.78
Tree,socket,70,7.34
Tree,socket,74,7.23
Tree,socket,78,7.24
Tree,socket,82,7.12
Tree,socket,86,7.63
Tree,socket,90,6.71
Tree,socket,94,7.22
Tree,socket,98,7.85
Tree,socket,102,7.29
Tree,socket,106,7.38
Tree,socket,110,7.32
Tree,socket,114,7.42
Tree,socket,118,7.43
Tree,socket,122,7.57
Tree,socket,126,7.60
Tree,socket,130,8.18
Tree,socket,134,8.44
Tree,socket,138,8.37
Tree,socket,142,14.34
Tree,socket,146,12.62
Tree,socket,150,9.92
Tree,socket,154,11.18
Tree,socket,158,9.56
Tree,socket,162,11.54
Tree,socket,166,9.87
Tree,socket,170,11.26
Tree,socket,174,11.36
Tree,socket,178,11.82
Tree,socket,182,10.40
Tree,socket,186,10.58
Tree,socket,190,11.75
Tree,socket,194,15.53
Tree,socket,198,10.92
Tree,socket,202,13.79
Tree,socket,206,23.52
Tree,socket,210,16.32
Tree,socket,214,12.22
Tree,socket,218,11.46
Tree,socket,222,11.39
Tree,socket,226,11.80
Tree,socket,230,12.66
Tree,socket,234,11.79
Tree,socket,238,18.84
Tree,socket,242,11.89
Tree,socket,246,19.29
Tree,socket,250,16.91
Tree,socket,254,3627.63
Tree,socket,256,13.12
