Algorithm,Mapping,Processes,MessageSize,Latency
BasicLinear,core,2,#,OSU
BasicLinear,core,2,#,Datatype:
BasicLinear,core,2,#,Size
BasicLinear,core,2,1,0.13
BasicLinear,core,2,2,0.15
BasicLinear,core,2,4,0.15
BasicLinear,core,2,8,0.14
BasicLinear,core,2,16,0.13
BasicLinear,core,2,32,0.15
BasicLinear,core,2,64,0.15
BasicLinear,core,2,128,0.22
BasicLinear,core,2,256,0.25
BasicLinear,core,2,512,0.26
BasicLinear,core,2,1024,0.29
BasicLinear,core,2,2048,0.34
BasicLinear,core,2,4096,0.42
BasicLinear,core,2,8192,0.58
BasicLinear,core,2,16384,4.65
BasicLinear,core,2,32768,4.59
BasicLinear,core,2,65536,6.28
BasicLinear,core,2,131072,10.76
BasicLinear,core,6,#,OSU
BasicLinear,core,6,#,Datatype:
BasicLinear,core,6,#,Size
BasicLinear,core,6,1,0.29
BasicLinear,core,6,2,0.30
BasicLinear,core,6,4,0.29
BasicLinear,core,6,8,0.30
BasicLinear,core,6,16,0.29
BasicLinear,core,6,32,0.32
BasicLinear,core,6,64,0.31
BasicLinear,core,6,128,0.56
BasicLinear,core,6,256,0.59
BasicLinear,core,6,512,0.68
BasicLinear,core,6,1024,0.74
BasicLinear,core,6,2048,1.12
BasicLinear,core,6,4096,1.65
BasicLinear,core,6,8192,2.79
BasicLinear,core,6,16384,5.29
BasicLinear,core,6,32768,9.93
BasicLinear,core,6,65536,19.18
BasicLinear,core,6,131072,38.22
BasicLinear,core,10,#,OSU
BasicLinear,core,10,#,Datatype:
BasicLinear,core,10,#,Size
BasicLinear,core,10,1,1.05
BasicLinear,core,10,2,1.05
BasicLinear,core,10,4,1.10
BasicLinear,core,10,8,1.02
BasicLinear,core,10,16,1.06
BasicLinear,core,10,32,1.11
BasicLinear,core,10,64,1.11
BasicLinear,core,10,128,2.07
BasicLinear,core,10,256,2.02
BasicLinear,core,10,512,2.18
BasicLinear,core,10,1024,2.50
BasicLinear,core,10,2048,3.39
BasicLinear,core,10,4096,4.61
BasicLinear,core,10,8192,6.88
BasicLinear,core,10,16384,7.72
BasicLinear,core,10,32768,15.36
BasicLinear,core,10,65536,32.82
BasicLinear,core,10,131072,66.72
BasicLinear,core,14,#,OSU
BasicLinear,core,14,#,Datatype:
BasicLinear,core,14,#,Size
BasicLinear,core,14,1,1.37
BasicLinear,core,14,2,1.36
BasicLinear,core,14,4,1.40
BasicLinear,core,14,8,1.38
BasicLinear,core,14,16,1.38
BasicLinear,core,14,32,1.49
BasicLinear,core,14,64,1.50
BasicLinear,core,14,128,2.93
BasicLinear,core,14,256,3.10
BasicLinear,core,14,512,3.21
BasicLinear,core,14,1024,3.56
BasicLinear,core,14,2048,4.94
BasicLinear,core,14,4096,6.94
BasicLinear,core,14,8192,9.85
BasicLinear,core,14,16384,9.71
BasicLinear,core,14,32768,21.17
BasicLinear,core,14,65536,45.77
BasicLinear,core,14,131072,96.94
BasicLinear,core,18,#,OSU
BasicLinear,core,18,#,Datatype:
BasicLinear,core,18,#,Size
BasicLinear,core,18,1,1.95
BasicLinear,core,18,2,1.93
BasicLinear,core,18,4,1.93
BasicLinear,core,18,8,1.91
BasicLinear,core,18,16,1.94
BasicLinear,core,18,32,2.13
BasicLinear,core,18,64,2.12
BasicLinear,core,18,128,3.54
BasicLinear,core,18,256,3.60
BasicLinear,core,18,512,3.91
BasicLinear,core,18,1024,4.50
BasicLinear,core,18,2048,6.36
BasicLinear,core,18,4096,8.83
BasicLinear,core,18,8192,12.57
BasicLinear,core,18,16384,13.63
BasicLinear,core,18,32768,24.01
BasicLinear,core,18,65536,60.25
BasicLinear,core,18,131072,126.41
BasicLinear,core,22,#,OSU
BasicLinear,core,22,#,Datatype:
BasicLinear,core,22,#,Size
BasicLinear,core,22,1,2.30
BasicLinear,core,22,2,2.32
BasicLinear,core,22,4,2.31
BasicLinear,core,22,8,2.31
BasicLinear,core,22,16,2.34
BasicLinear,core,22,32,2.47
BasicLinear,core,22,64,2.45
BasicLinear,core,22,128,4.79
BasicLinear,core,22,256,5.10
BasicLinear,core,22,512,5.22
BasicLinear,core,22,1024,5.78
BasicLinear,core,22,2048,8.30
BasicLinear,core,22,4096,11.32
BasicLinear,core,22,8192,15.65
BasicLinear,core,22,16384,14.75
BasicLinear,core,22,32768,36.46
BasicLinear,core,22,65536,75.14
BasicLinear,core,22,131072,159.24
BasicLinear,core,26,#,OSU
BasicLinear,core,26,#,Datatype:
BasicLinear,core,26,#,Size
BasicLinear,core,26,1,2.73
BasicLinear,core,26,2,2.73
BasicLinear,core,26,4,2.73
BasicLinear,core,26,8,2.75
BasicLinear,core,26,16,2.73
BasicLinear,core,26,32,2.97
BasicLinear,core,26,64,2.96
BasicLinear,core,26,128,5.65
BasicLinear,core,26,256,5.76
BasicLinear,core,26,512,6.10
BasicLinear,core,26,1024,6.84
BasicLinear,core,26,2048,9.95
BasicLinear,core,26,4096,13.39
BasicLinear,core,26,8192,19.02
BasicLinear,core,26,16384,17.48
BasicLinear,core,26,32768,43.98
BasicLinear,core,26,65536,91.56
BasicLinear,core,26,131072,190.17
BasicLinear,core,30,#,OSU
BasicLinear,core,30,#,Datatype:
BasicLinear,core,30,#,Size
BasicLinear,core,30,1,2.79
BasicLinear,core,30,2,2.81
BasicLinear,core,30,4,2.80
BasicLinear,core,30,8,2.80
BasicLinear,core,30,16,2.81
BasicLinear,core,30,32,3.00
BasicLinear,core,30,64,2.97
BasicLinear,core,30,128,6.64
BasicLinear,core,30,256,6.71
BasicLinear,core,30,512,7.02
BasicLinear,core,30,1024,8.05
BasicLinear,core,30,2048,11.57
BasicLinear,core,30,4096,15.82
BasicLinear,core,30,8192,22.32
BasicLinear,core,30,16384,20.70
BasicLinear,core,30,32768,51.61
BasicLinear,core,30,65536,108.00
BasicLinear,core,30,131072,222.22
BasicLinear,core,34,#,OSU
BasicLinear,core,34,#,Datatype:
BasicLinear,core,34,#,Size
BasicLinear,core,34,1,3.77
BasicLinear,core,34,2,3.63
BasicLinear,core,34,4,3.66
BasicLinear,core,34,8,3.68
BasicLinear,core,34,16,3.64
BasicLinear,core,34,32,3.82
BasicLinear,core,34,64,3.75
BasicLinear,core,34,128,7.49
BasicLinear,core,34,256,8.23
BasicLinear,core,34,512,7.75
BasicLinear,core,34,1024,8.65
BasicLinear,core,34,2048,13.04
BasicLinear,core,34,4096,18.20
BasicLinear,core,34,8192,25.18
BasicLinear,core,34,16384,26.32
BasicLinear,core,34,32768,53.76
BasicLinear,core,34,65536,120.03
BasicLinear,core,34,131072,247.90
BasicLinear,core,38,#,OSU
BasicLinear,core,38,#,Datatype:
BasicLinear,core,38,#,Size
BasicLinear,core,38,1,3.72
BasicLinear,core,38,2,3.75
BasicLinear,core,38,4,4.03
BasicLinear,core,38,8,3.83
BasicLinear,core,38,16,3.76
BasicLinear,core,38,32,4.12
BasicLinear,core,38,64,3.95
BasicLinear,core,38,128,10.35
BasicLinear,core,38,256,10.58
BasicLinear,core,38,512,9.31
BasicLinear,core,38,1024,10.41
BasicLinear,core,38,2048,15.02
BasicLinear,core,38,4096,20.38
BasicLinear,core,38,8192,28.93
BasicLinear,core,38,16384,28.76
BasicLinear,core,38,32768,66.03
BasicLinear,core,38,65536,142.13
BasicLinear,core,38,131072,288.40
BasicLinear,core,42,#,OSU
BasicLinear,core,42,#,Datatype:
BasicLinear,core,42,#,Size
BasicLinear,core,42,1,4.09
BasicLinear,core,42,2,4.10
BasicLinear,core,42,4,4.08
BasicLinear,core,42,8,4.10
BasicLinear,core,42,16,4.14
BasicLinear,core,42,32,4.39
BasicLinear,core,42,64,4.37
BasicLinear,core,42,128,9.64
BasicLinear,core,42,256,9.99
BasicLinear,core,42,512,10.36
BasicLinear,core,42,1024,12.06
BasicLinear,core,42,2048,16.96
BasicLinear,core,42,4096,22.93
BasicLinear,core,42,8192,32.28
BasicLinear,core,42,16384,29.25
BasicLinear,core,42,32768,79.83
BasicLinear,core,42,65536,165.88
BasicLinear,core,42,131072,333.59
BasicLinear,core,46,#,OSU
BasicLinear,core,46,#,Datatype:
BasicLinear,core,46,#,Size
BasicLinear,core,46,1,4.54
BasicLinear,core,46,2,4.63
BasicLinear,core,46,4,5.22
BasicLinear,core,46,8,4.61
BasicLinear,core,46,16,4.57
BasicLinear,core,46,32,4.98
BasicLinear,core,46,64,4.89
BasicLinear,core,46,128,10.82
BasicLinear,core,46,256,11.20
BasicLinear,core,46,512,11.63
BasicLinear,core,46,1024,12.85
BasicLinear,core,46,2048,18.67
BasicLinear,core,46,4096,25.30
BasicLinear,core,46,8192,36.24
BasicLinear,core,46,16384,32.34
BasicLinear,core,46,32768,84.75
BasicLinear,core,46,65536,182.31
BasicLinear,core,46,131072,253.28
BasicLinear,core,50,#,OSU
BasicLinear,core,50,#,Datatype:
BasicLinear,core,50,#,Size
BasicLinear,core,50,1,5.03
BasicLinear,core,50,2,5.01
BasicLinear,core,50,4,4.96
BasicLinear,core,50,8,5.09
BasicLinear,core,50,16,4.99
BasicLinear,core,50,32,5.40
BasicLinear,core,50,64,5.86
BasicLinear,core,50,128,11.77
BasicLinear,core,50,256,12.10
BasicLinear,core,50,512,12.48
BasicLinear,core,50,1024,14.05
BasicLinear,core,50,2048,20.60
BasicLinear,core,50,4096,27.94
BasicLinear,core,50,8192,39.63
BasicLinear,core,50,16384,38.38
BasicLinear,core,50,32768,101.30
BasicLinear,core,50,65536,209.78
BasicLinear,core,50,131072,419.25
BasicLinear,core,54,#,OSU
BasicLinear,core,54,#,Datatype:
BasicLinear,core,54,#,Size
BasicLinear,core,54,1,5.95
BasicLinear,core,54,2,5.83
BasicLinear,core,54,4,5.85
BasicLinear,core,54,8,5.81
BasicLinear,core,54,16,5.89
BasicLinear,core,54,32,6.23
BasicLinear,core,54,64,6.07
BasicLinear,core,54,128,13.14
BasicLinear,core,54,256,13.58
BasicLinear,core,54,512,13.98
BasicLinear,core,54,1024,15.39
BasicLinear,core,54,2048,22.97
BasicLinear,core,54,4096,30.48
BasicLinear,core,54,8192,43.94
BasicLinear,core,54,16384,44.50
BasicLinear,core,54,32768,110.67
BasicLinear,core,54,65536,228.47
BasicLinear,core,54,131072,457.96
BasicLinear,core,58,#,OSU
BasicLinear,core,58,#,Datatype:
BasicLinear,core,58,#,Size
BasicLinear,core,58,1,5.61
BasicLinear,core,58,2,5.67
BasicLinear,core,58,4,5.69
BasicLinear,core,58,8,5.71
BasicLinear,core,58,16,5.62
BasicLinear,core,58,32,6.22
BasicLinear,core,58,64,6.02
BasicLinear,core,58,128,14.20
BasicLinear,core,58,256,14.19
BasicLinear,core,58,512,14.66
BasicLinear,core,58,1024,16.93
BasicLinear,core,58,2048,24.24
BasicLinear,core,58,4096,33.20
BasicLinear,core,58,8192,47.78
BasicLinear,core,58,16384,50.24
BasicLinear,core,58,32768,123.16
BasicLinear,core,58,65536,262.85
