Algorithm,Mapping,Processes,MessageSize,Latency
BinaryTree,core,2,#,OSU
BinaryTree,core,2,#,Datatype:
BinaryTree,core,2,#,Size
BinaryTree,core,2,1,0.16
BinaryTree,core,2,2,0.16
BinaryTree,core,2,4,0.16
BinaryTree,core,2,8,0.15
BinaryTree,core,2,16,0.16
BinaryTree,core,2,32,0.16
BinaryTree,core,2,64,0.16
BinaryTree,core,2,128,0.21
BinaryTree,core,2,256,0.22
BinaryTree,core,2,512,0.23
BinaryTree,core,2,1024,0.26
BinaryTree,core,2,2048,0.31
BinaryTree,core,2,4096,0.41
BinaryTree,core,2,8192,0.58
BinaryTree,core,2,16384,4.45
BinaryTree,core,2,32768,4.70
BinaryTree,core,2,65536,6.01
BinaryTree,core,2,131072,11.87
BinaryTree,core,6,#,OSU
BinaryTree,core,6,#,Datatype:
BinaryTree,core,6,#,Size
BinaryTree,core,6,1,0.39
BinaryTree,core,6,2,0.42
BinaryTree,core,6,4,0.39
BinaryTree,core,6,8,0.41
BinaryTree,core,6,16,0.39
BinaryTree,core,6,32,0.45
BinaryTree,core,6,64,0.42
BinaryTree,core,6,128,0.65
BinaryTree,core,6,256,0.66
BinaryTree,core,6,512,0.73
BinaryTree,core,6,1024,0.83
BinaryTree,core,6,2048,1.18
BinaryTree,core,6,4096,1.74
BinaryTree,core,6,8192,2.92
BinaryTree,core,6,16384,10.62
BinaryTree,core,6,32768,15.70
BinaryTree,core,6,65536,27.85
BinaryTree,core,6,131072,50.26
BinaryTree,core,10,#,OSU
BinaryTree,core,10,#,Datatype:
BinaryTree,core,10,#,Size
BinaryTree,core,10,1,1.20
BinaryTree,core,10,2,1.18
BinaryTree,core,10,4,1.17
BinaryTree,core,10,8,1.17
BinaryTree,core,10,16,1.17
BinaryTree,core,10,32,1.27
BinaryTree,core,10,64,1.36
BinaryTree,core,10,128,1.77
BinaryTree,core,10,256,1.81
BinaryTree,core,10,512,1.91
BinaryTree,core,10,1024,2.11
BinaryTree,core,10,2048,2.80
BinaryTree,core,10,4096,4.65
BinaryTree,core,10,8192,6.24
BinaryTree,core,10,16384,15.95
BinaryTree,core,10,32768,25.81
BinaryTree,core,10,65536,44.38
BinaryTree,core,10,131072,85.02
BinaryTree,core,14,#,OSU
BinaryTree,core,14,#,Datatype:
BinaryTree,core,14,#,Size
BinaryTree,core,14,1,1.26
BinaryTree,core,14,2,1.27
BinaryTree,core,14,4,1.27
BinaryTree,core,14,8,1.27
BinaryTree,core,14,16,1.27
BinaryTree,core,14,32,1.44
BinaryTree,core,14,64,1.42
BinaryTree,core,14,128,1.94
BinaryTree,core,14,256,1.97
BinaryTree,core,14,512,2.14
BinaryTree,core,14,1024,2.41
BinaryTree,core,14,2048,3.42
BinaryTree,core,14,4096,5.09
BinaryTree,core,14,8192,8.32
BinaryTree,core,14,16384,19.02
BinaryTree,core,14,32768,31.04
BinaryTree,core,14,65536,56.82
BinaryTree,core,14,131072,104.62
BinaryTree,core,18,#,OSU
BinaryTree,core,18,#,Datatype:
BinaryTree,core,18,#,Size
BinaryTree,core,18,1,1.76
BinaryTree,core,18,2,1.75
BinaryTree,core,18,4,1.76
BinaryTree,core,18,8,1.74
BinaryTree,core,18,16,1.75
BinaryTree,core,18,32,2.01
BinaryTree,core,18,64,1.99
BinaryTree,core,18,128,2.78
BinaryTree,core,18,256,2.69
BinaryTree,core,18,512,2.93
BinaryTree,core,18,1024,3.17
BinaryTree,core,18,2048,4.35
BinaryTree,core,18,4096,6.41
BinaryTree,core,18,8192,10.97
BinaryTree,core,18,16384,23.73
BinaryTree,core,18,32768,40.35
BinaryTree,core,18,65536,70.98
BinaryTree,core,18,131072,133.78
BinaryTree,core,22,#,OSU
BinaryTree,core,22,#,Datatype:
BinaryTree,core,22,#,Size
BinaryTree,core,22,1,1.86
BinaryTree,core,22,2,1.87
BinaryTree,core,22,4,1.83
BinaryTree,core,22,8,1.86
BinaryTree,core,22,16,1.85
BinaryTree,core,22,32,2.09
BinaryTree,core,22,64,2.06
BinaryTree,core,22,128,2.74
BinaryTree,core,22,256,2.80
BinaryTree,core,22,512,3.10
BinaryTree,core,22,1024,3.33
BinaryTree,core,22,2048,4.71
BinaryTree,core,22,4096,7.03
BinaryTree,core,22,8192,11.73
BinaryTree,core,22,16384,29.22
BinaryTree,core,22,32768,50.43
BinaryTree,core,22,65536,89.53
BinaryTree,core,22,131072,171.14
BinaryTree,core,26,#,OSU
BinaryTree,core,26,#,Datatype:
BinaryTree,core,26,#,Size
BinaryTree,core,26,1,1.89
BinaryTree,core,26,2,1.86
BinaryTree,core,26,4,1.88
BinaryTree,core,26,8,1.85
BinaryTree,core,26,16,1.86
BinaryTree,core,26,32,2.14
BinaryTree,core,26,64,2.17
BinaryTree,core,26,128,2.90
BinaryTree,core,26,256,2.91
BinaryTree,core,26,512,3.20
BinaryTree,core,26,1024,3.53
