Algorithm,Mapping,Processes,MessageSize,Latency
Chain,core,2,#,OSU
Chain,core,2,#,Datatype:
Chain,core,2,#,Size
Chain,core,2,1,0.15
Chain,core,2,2,0.14
Chain,core,2,4,0.16
Chain,core,2,8,0.14
Chain,core,2,16,0.15
Chain,core,2,32,0.14
Chain,core,2,64,0.15
Chain,core,2,128,0.21
Chain,core,2,256,0.21
Chain,core,2,512,0.23
Chain,core,2,1024,0.25
Chain,core,2,2048,0.31
Chain,core,2,4096,0.39
Chain,core,2,8192,0.55
Chain,core,2,16384,4.42
Chain,core,2,32768,4.53
Chain,core,2,65536,6.01
Chain,core,2,131072,10.04
Chain,core,6,#,OSU
Chain,core,6,#,Datatype:
Chain,core,6,#,Size
Chain,core,6,1,0.32
Chain,core,6,2,0.33
Chain,core,6,4,0.32
Chain,core,6,8,0.34
Chain,core,6,16,0.33
Chain,core,6,32,0.34
Chain,core,6,64,0.33
Chain,core,6,128,0.59
Chain,core,6,256,0.62
Chain,core,6,512,0.68
Chain,core,6,1024,0.77
Chain,core,6,2048,1.09
Chain,core,6,4096,1.58
Chain,core,6,8192,2.70
Chain,core,6,16384,6.36
Chain,core,6,32768,10.71
Chain,core,6,65536,20.13
Chain,core,6,131072,40.77
Chain,core,10,#,OSU
Chain,core,10,#,Datatype:
Chain,core,10,#,Size
Chain,core,10,1,1.12
Chain,core,10,2,1.13
Chain,core,10,4,1.12
Chain,core,10,8,1.13
Chain,core,10,16,1.13
Chain,core,10,32,1.22
Chain,core,10,64,1.24
Chain,core,10,128,1.69
Chain,core,10,256,1.65
Chain,core,10,512,1.79
Chain,core,10,1024,1.82
Chain,core,10,2048,2.39
Chain,core,10,4096,3.23
Chain,core,10,8192,4.95
Chain,core,10,16384,9.99
Chain,core,10,32768,15.58
Chain,core,10,65536,28.73
Chain,core,10,131072,56.15
Chain,core,14,#,OSU
Chain,core,14,#,Datatype:
Chain,core,14,#,Size
Chain,core,14,1,1.21
Chain,core,14,2,1.12
Chain,core,14,4,1.13
Chain,core,14,8,1.12
Chain,core,14,16,1.14
Chain,core,14,32,1.25
Chain,core,14,64,1.27
Chain,core,14,128,1.83
Chain,core,14,256,1.78
Chain,core,14,512,1.92
Chain,core,14,1024,2.06
Chain,core,14,2048,2.79
Chain,core,14,4096,3.77
Chain,core,14,8192,6.06
Chain,core,14,16384,13.22
Chain,core,14,32768,20.78
Chain,core,14,65536,38.69
Chain,core,14,131072,75.93
Chain,core,18,#,OSU
Chain,core,18,#,Datatype:
Chain,core,18,#,Size
Chain,core,18,1,1.81
Chain,core,18,2,1.82
Chain,core,18,4,1.81
Chain,core,18,8,1.81
Chain,core,18,16,1.80
Chain,core,18,32,2.02
Chain,core,18,64,2.00
Chain,core,18,128,2.67
Chain,core,18,256,2.70
Chain,core,18,512,2.92
Chain,core,18,1024,3.05
Chain,core,18,2048,3.91
Chain,core,18,4096,5.21
Chain,core,18,8192,8.09
Chain,core,18,16384,18.36
Chain,core,18,32768,30.60
Chain,core,18,65536,58.20
Chain,core,18,131072,108.28
Chain,core,22,#,OSU
Chain,core,22,#,Datatype:
Chain,core,22,#,Size
Chain,core,22,1,1.82
Chain,core,22,2,1.83
Chain,core,22,4,1.81
Chain,core,22,8,1.81
Chain,core,22,16,1.80
Chain,core,22,32,2.01
Chain,core,22,64,1.99
Chain,core,22,128,2.81
Chain,core,22,256,2.72
Chain,core,22,512,2.99
Chain,core,22,1024,3.14
Chain,core,22,2048,4.09
Chain,core,22,4096,5.34
Chain,core,22,8192,8.37
Chain,core,22,16384,18.24
Chain,core,22,32768,28.58
Chain,core,22,65536,53.65
Chain,core,22,131072,103.69
Chain,core,26,#,OSU
Chain,core,26,#,Datatype:
Chain,core,26,#,Size
Chain,core,26,1,1.86
Chain,core,26,2,1.86
Chain,core,26,4,1.86
Chain,core,26,8,1.85
Chain,core,26,16,1.89
Chain,core,26,32,2.09
Chain,core,26,64,2.10
Chain,core,26,128,2.71
Chain,core,26,256,2.77
Chain,core,26,512,3.00
Chain,core,26,1024,3.20
Chain,core,26,2048,4.07
Chain,core,26,4096,5.21
Chain,core,26,8192,8.11
Chain,core,26,16384,20.22
Chain,core,26,32768,35.36
Chain,core,26,65536,57.22
Chain,core,26,131072,110.19
Chain,core,30,#,OSU
Chain,core,30,#,Datatype:
Chain,core,30,#,Size
Chain,core,30,1,1.91
Chain,core,30,2,1.90
Chain,core,30,4,1.91
Chain,core,30,8,1.90
Chain,core,30,16,1.90
Chain,core,30,32,2.16
Chain,core,30,64,2.17
Chain,core,30,128,2.81
Chain,core,30,256,2.88
Chain,core,30,512,3.13
Chain,core,30,1024,3.34
Chain,core,30,2048,4.28
Chain,core,30,4096,5.60
Chain,core,30,8192,8.89
Chain,core,30,16384,25.31
Chain,core,30,32768,36.26
Chain,core,30,65536,64.75
Chain,core,30,131072,122.81
Chain,core,34,#,OSU
Chain,core,34,#,Datatype:
Chain,core,34,#,Size
Chain,core,34,1,2.69
Chain,core,34,2,2.68
Chain,core,34,4,2.68
Chain,core,34,8,2.67
Chain,core,34,16,2.66
Chain,core,34,32,3.44
Chain,core,34,64,3.12
Chain,core,34,128,4.60
Chain,core,34,256,4.92
Chain,core,34,512,4.09
Chain,core,34,1024,4.34
Chain,core,34,2048,5.45
Chain,core,34,4096,7.14
Chain,core,34,8192,10.69
Chain,core,34,16384,27.88
Chain,core,34,32768,42.45
Chain,core,34,65536,74.41
Chain,core,34,131072,141.77
Chain,core,38,#,OSU
Chain,core,38,#,Datatype:
Chain,core,38,#,Size
Chain,core,38,1,2.88
Chain,core,38,2,2.86
Chain,core,38,4,3.05
Chain,core,38,8,3.99
Chain,core,38,16,3.24
Chain,core,38,32,3.60
Chain,core,38,64,3.25
Chain,core,38,128,3.98
Chain,core,38,256,4.39
Chain,core,38,512,4.34
Chain,core,38,1024,4.56
Chain,core,38,2048,6.07
Chain,core,38,4096,7.83
Chain,core,38,8192,11.64
Chain,core,38,16384,28.17
Chain,core,38,32768,42.26
Chain,core,38,65536,76.89
Chain,core,38,131072,146.76
Chain,core,42,#,OSU
Chain,core,42,#,Datatype:
Chain,core,42,#,Size
Chain,core,42,1,3.32
Chain,core,42,2,3.78
Chain,core,42,4,2.81
Chain,core,42,8,2.82
Chain,core,42,16,2.82
Chain,core,42,32,3.17
Chain,core,42,64,3.05
Chain,core,42,128,3.93
Chain,core,42,256,4.03
Chain,core,42,512,4.35
Chain,core,42,1024,4.55
Chain,core,42,2048,5.83
Chain,core,42,4096,7.71
Chain,core,42,8192,11.88
Chain,core,42,16384,30.77
Chain,core,42,32768,47.03
Chain,core,42,65536,82.68
Chain,core,42,131072,158.80
Chain,core,46,#,OSU
Chain,core,46,#,Datatype:
Chain,core,46,#,Size
Chain,core,46,1,3.59
Chain,core,46,2,3.19
Chain,core,46,4,3.71
