Algorithm,Mapping,Processes,MessageSize,Latency
Default,core,2,#,OSU
Default,core,2,#,Datatype:
Default,core,2,#,Size
Default,core,2,1,0.15
Default,core,2,2,0.15
Default,core,2,4,0.16
Default,core,2,8,0.16
Default,core,2,16,0.16
Default,core,2,32,0.16
Default,core,2,64,0.16
Default,core,2,128,0.22
Default,core,2,256,0.23
Default,core,2,512,0.27
Default,core,2,1024,0.28
Default,core,2,2048,0.32
Default,core,2,4096,0.40
Default,core,2,8192,0.57
Default,core,2,16384,4.52
Default,core,2,32768,4.35
Default,core,2,65536,6.23
Default,core,2,131072,12.05
Default,core,6,#,OSU
Default,core,6,#,Datatype:
Default,core,6,#,Size
Default,core,6,1,0.40
Default,core,6,2,0.41
Default,core,6,4,0.39
Default,core,6,8,0.41
Default,core,6,16,0.39
Default,core,6,32,0.45
Default,core,6,64,0.38
Default,core,6,128,0.68
Default,core,6,256,0.74
Default,core,6,512,0.84
Default,core,6,1024,0.89
Default,core,6,2048,1.21
Default,core,6,4096,1.65
Default,core,6,8192,2.95
Default,core,6,16384,5.54
Default,core,6,32768,10.39
Default,core,6,65536,19.80
Default,core,6,131072,40.74
Default,core,10,#,OSU
Default,core,10,#,Datatype:
Default,core,10,#,Size
Default,core,10,1,1.04
Default,core,10,2,1.02
Default,core,10,4,1.01
Default,core,10,8,1.23
Default,core,10,16,1.24
Default,core,10,32,1.31
Default,core,10,64,1.18
Default,core,10,128,1.68
Default,core,10,256,1.68
Default,core,10,512,1.92
Default,core,10,1024,1.98
Default,core,10,2048,2.58
Default,core,10,4096,4.13
Default,core,10,8192,6.27
Default,core,10,16384,12.73
Default,core,10,32768,14.09
Default,core,10,65536,31.37
Default,core,10,131072,63.41
Default,core,14,#,OSU
Default,core,14,#,Datatype:
Default,core,14,#,Size
Default,core,14,1,1.07
Default,core,14,2,1.07
Default,core,14,4,1.05
Default,core,14,8,1.26
Default,core,14,16,1.25
Default,core,14,32,1.42
Default,core,14,64,1.07
Default,core,14,128,1.66
Default,core,14,256,1.64
Default,core,14,512,1.88
Default,core,14,1024,2.00
Default,core,14,2048,2.82
Default,core,14,4096,5.28
Default,core,14,8192,8.30
Default,core,14,16384,15.97
Default,core,14,32768,22.91
Default,core,14,65536,43.71
Default,core,14,131072,68.03
Default,core,18,#,OSU
Default,core,18,#,Datatype:
Default,core,18,#,Size
Default,core,18,1,1.53
Default,core,18,2,1.52
Default,core,18,4,1.64
Default,core,18,8,1.66
Default,core,18,16,1.74
Default,core,18,32,1.88
Default,core,18,64,1.90
Default,core,18,128,2.92
Default,core,18,256,2.98
Default,core,18,512,3.16
Default,core,18,1024,3.28
Default,core,18,2048,4.30
Default,core,18,4096,6.60
Default,core,18,8192,12.08
Default,core,18,16384,21.78
Default,core,18,32768,31.84
