"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
4, 1, 1000, 1000, 65535, 5.018125, 0.001860, 0.014543
8, 1, 1000, 1000, 65535, 2.512741, 0.006860, 0.001009
12, 1, 1000, 1000, 65535, 1.683856, 0.003516, 0.001001
16, 1, 1000, 1000, 65535, 1.266932, 0.000725, 0.001090
20, 1, 1000, 1000, 65535, 1.014032, 0.000282, 0.001184
24, 1, 1000, 1000, 65535, 0.859952, 0.000315, 0.001226
28, 1, 1000, 1000, 65535, 0.736196, 0.002825, 0.001192
32, 1, 1000, 1000, 65535, 0.637094, 0.003847, 0.001326
36, 1, 1000, 1000, 65535, 0.565688, 0.000276, 0.001172
40, 1, 1000, 1000, 65535, 0.514114, 0.000499, 0.001284
44, 1, 1000, 1000, 65535, 0.468568, 0.000664, 0.001446
48, 1, 1000, 1000, 65535, 0.442101, 0.000338, 0.001325
52, 1, 1000, 1000, 65535, 0.398367, 0.001064, 0.001331
56, 1, 1000, 1000, 65535, 0.388057, 0.001047, 0.001410
60, 1, 1000, 1000, 65535, 0.345048, 0.000208, 0.001392
64, 1, 1000, 1000, 65535, 0.329145, 0.000454, 0.001593
68, 1, 1000, 1000, 65535, 0.314245, 0.000307, 0.001913
72, 1, 1000, 1000, 65535, 0.291076, 0.005288, 0.001922
76, 1, 1000, 1000, 65535, 0.277645, 0.001220, 0.002032
80, 1, 1000, 1000, 65535, 0.269196, 0.000328, 0.001491
84, 1, 1000, 1000, 65535, 0.258827, 0.000312, 0.002061
88, 1, 1000, 1000, 65535, 0.248690, 0.000502, 0.001253
92, 1, 1000, 1000, 65535, 0.241525, 0.002562, 0.002186
96, 1, 1000, 1000, 65535, 0.228045, 0.001357, 0.001984
100, 1, 1000, 1000, 65535, 0.212774, 0.000657, 0.002434
104, 1, 1000, 1000, 65535, 0.212732, 0.012278, 0.002367
108, 1, 1000, 1000, 65535, 0.199032, 0.002374, 0.002172
112, 1, 1000, 1000, 65535, 0.195594, 0.000305, 0.002230
116, 1, 1000, 1000, 65535, 0.188081, 0.003855, 0.002211
120, 1, 1000, 1000, 65535, 0.183672, 0.001641, 0.002560
124, 1, 1000, 1000, 65535, 0.183269, 0.000560, 0.002181
128, 1, 1000, 1000, 65535, 0.181884, 0.000320, 0.002618
132, 1, 1000, 1000, 65535, 0.183276, 0.003878, 0.043869
136, 1, 1000, 1000, 65535, 0.181044, 0.000437, 0.046840
140, 1, 1000, 1000, 65535, 0.178188, 0.000400, 0.048163
144, 1, 1000, 1000, 65535, 0.165253, 0.002587, 0.050985
148, 1, 1000, 1000, 65535, 0.156517, 0.004792, 0.009926
152, 1, 1000, 1000, 65535, 0.151575, 0.008951, 0.009754
156, 1, 1000, 1000, 65535, 0.143721, 0.011936, 0.048833
160, 1, 1000, 1000, 65535, 0.145987, 0.014002, 0.010368
164, 1, 1000, 1000, 65535, 0.143760, 0.012298, 0.046026
168, 1, 1000, 1000, 65535, 0.141558, 0.011091, 0.047684
172, 1, 1000, 1000, 65535, 0.137463, 0.009331, 0.049844
176, 1, 1000, 1000, 65535, 0.133355, 0.006908, 0.011365
180, 1, 1000, 1000, 65535, 0.131641, 0.013338, 0.010431
184, 1, 1000, 1000, 65535, 0.128592, 0.013394, 0.010720
188, 1, 1000, 1000, 65535, 0.126606, 0.012636, 0.058544
192, 1, 1000, 1000, 65535, 0.124765, 0.011971, 0.051574
196, 1, 1000, 1000, 65535, 0.124223, 0.013678, 0.044337
200, 1, 1000, 1000, 65535, 0.119762, 0.011623, 0.010402
204, 1, 1000, 1000, 65535, 0.113833, 0.012267, 0.043780
208, 1, 1000, 1000, 65535, 0.110119, 0.012077, 0.010269
212, 1, 1000, 1000, 65535, 0.109760, 0.013622, 0.049154
216, 1, 1000, 1000, 65535, 0.109171, 0.012771, 0.043864
220, 1, 1000, 1000, 65535, 0.108332, 0.010972, 0.043618
224, 1, 1000, 1000, 65535, 0.109029, 0.010806, 0.056325
228, 1, 1000, 1000, 65535, 0.105245, 0.011144, 0.010952
232, 1, 1000, 1000, 65535, 0.102202, 0.011048, 0.010845
236, 1, 1000, 1000, 65535, 0.101168, 0.008851, 0.052339
240, 1, 1000, 1000, 65535, 0.102890, 0.009871, 0.060354
244, 1, 1000, 1000, 65535, 0.100663, 0.010775, 0.044877
248, 1, 1000, 1000, 65535, 0.099387, 0.010075, 0.049687
252, 1, 1000, 1000, 65535, 0.100179, 0.011194, 0.048840
