"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
4, 1, 3000, 3000, 3000, 4.153963, 0.001195, 0.007345
8, 1, 3000, 3000, 3000, 3.430469, 0.011107, 0.009053
12, 1, 3000, 3000, 3000, 2.566873, 0.002365, 0.008815
16, 1, 3000, 3000, 3000, 2.080778, 0.001311, 0.036758
20, 1, 3000, 3000, 3000, 1.701166, 0.001148, 0.035215
24, 1, 3000, 3000, 3000, 1.438699, 0.000851, 0.030624
28, 1, 3000, 3000, 3000, 1.241426, 0.000797, 0.036641
32, 1, 3000, 3000, 3000, 1.094205, 0.001072, 0.037615
36, 1, 3000, 3000, 3000, 0.975899, 0.000611, 0.026878
40, 1, 3000, 3000, 3000, 0.880963, 0.002328, 0.011488
44, 1, 3000, 3000, 3000, 0.804365, 0.000292, 0.068517
48, 1, 3000, 3000, 3000, 0.742128, 0.000464, 0.037332
52, 1, 3000, 3000, 3000, 0.691911, 0.001680, 0.044319
56, 1, 3000, 3000, 3000, 0.652651, 0.000873, 0.057234
60, 1, 3000, 3000, 3000, 0.618467, 0.004068, 0.048796
64, 1, 3000, 3000, 3000, 0.583985, 0.000927, 0.045779
68, 1, 3000, 3000, 3000, 0.557219, 0.001032, 0.043974
72, 1, 3000, 3000, 3000, 0.520447, 0.000715, 0.045173
76, 1, 3000, 3000, 3000, 0.494651, 0.000501, 0.041302
80, 1, 3000, 3000, 3000, 0.469145, 0.000625, 0.042934
84, 1, 3000, 3000, 3000, 0.442474, 0.000527, 0.044834
88, 1, 3000, 3000, 3000, 0.429593, 0.000671, 0.047422
92, 1, 3000, 3000, 3000, 0.403625, 0.000533, 0.041898
96, 1, 3000, 3000, 3000, 0.391940, 0.000541, 0.046255
100, 1, 3000, 3000, 3000, 0.377437, 0.000638, 0.041837
104, 1, 3000, 3000, 3000, 0.355016, 0.000612, 0.070630
108, 1, 3000, 3000, 3000, 0.343185, 0.000432, 0.070282
112, 1, 3000, 3000, 3000, 0.330814, 0.000517, 0.043584
116, 1, 3000, 3000, 3000, 0.317678, 0.000574, 0.064298
120, 1, 3000, 3000, 3000, 0.316821, 0.000350, 0.012428
124, 1, 3000, 3000, 3000, 0.307337, 0.000546, 0.074152
128, 1, 3000, 3000, 3000, 0.290455, 0.000360, 0.040502
132, 1, 3000, 3000, 3000, 0.277080, 0.000711, 0.073913
136, 1, 3000, 3000, 3000, 0.277544, 0.000357, 0.042616
140, 1, 3000, 3000, 3000, 0.264245, 0.000373, 0.011550
144, 1, 3000, 3000, 3000, 0.248997, 0.000312, 0.011593
148, 1, 3000, 3000, 3000, 0.248865, 0.000422, 0.032106
152, 1, 3000, 3000, 3000, 0.235429, 0.000547, 0.011734
156, 1, 3000, 3000, 3000, 0.235457, 0.000493, 0.012012
160, 1, 3000, 3000, 3000, 0.224050, 0.000507, 0.011738
164, 1, 3000, 3000, 3000, 0.224198, 0.000523, 0.048030
168, 1, 3000, 3000, 3000, 0.210564, 0.000692, 0.011845
172, 1, 3000, 3000, 3000, 0.210420, 0.000385, 0.011796
176, 1, 3000, 3000, 3000, 0.211051, 0.000376, 0.011887
180, 1, 3000, 3000, 3000, 0.198419, 0.000489, 0.011520
184, 1, 3000, 3000, 3000, 0.198459, 0.000391, 0.050888
188, 1, 3000, 3000, 3000, 0.185367, 0.000705, 0.011938
192, 1, 3000, 3000, 3000, 0.185162, 0.000227, 0.012458
196, 1, 3000, 3000, 3000, 0.185973, 0.001861, 0.045544
200, 1, 3000, 3000, 3000, 0.185413, 0.000762, 0.052207
204, 1, 3000, 3000, 3000, 0.173577, 0.000585, 0.046096
208, 1, 3000, 3000, 3000, 0.173761, 0.000255, 0.011574
212, 1, 3000, 3000, 3000, 0.174872, 0.002927, 0.012280
216, 1, 3000, 3000, 3000, 0.162300, 0.000480, 0.011297
220, 1, 3000, 3000, 3000, 0.162083, 0.000230, 0.011058
224, 1, 3000, 3000, 3000, 0.162099, 0.000351, 0.011588
228, 1, 3000, 3000, 3000, 0.162101, 0.000206, 0.057755
232, 1, 3000, 3000, 3000, 0.153199, 0.007684, 0.011284
236, 1, 3000, 3000, 3000, 0.152559, 0.006400, 0.042968
240, 1, 3000, 3000, 3000, 0.152624, 0.006110, 0.011781
244, 1, 3000, 3000, 3000, 0.151517, 0.003767, 0.012048
248, 1, 3000, 3000, 3000, 0.153100, 0.007442, 0.012230
252, 1, 3000, 3000, 3000, 0.140365, 0.007032, 0.019562
