"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
4, 1, 1000, 1000, 65535, 5.020979, 0.012514, 0.000920
8, 1, 1000, 1000, 65535, 2.513939, 0.005739, 0.001003
12, 1, 1000, 1000, 65535, 1.683332, 0.000497, 0.001001
16, 1, 1000, 1000, 65535, 1.269059, 0.001324, 0.001125
20, 1, 1000, 1000, 65535, 1.015368, 0.000570, 0.001165
24, 1, 1000, 1000, 65535, 0.860902, 0.000412, 0.001195
28, 1, 1000, 1000, 65535, 0.735853, 0.000714, 0.001196
32, 1, 1000, 1000, 65535, 0.635647, 0.001301, 0.001252
36, 1, 1000, 1000, 65535, 0.567557, 0.000550, 0.001198
40, 1, 1000, 1000, 65535, 0.514499, 0.000541, 0.001339
44, 1, 1000, 1000, 65535, 0.469664, 0.001426, 0.001274
48, 1, 1000, 1000, 65535, 0.442826, 0.000349, 0.001506
52, 1, 1000, 1000, 65535, 0.398659, 0.001012, 0.001422
56, 1, 1000, 1000, 65535, 0.388304, 0.000807, 0.001355
60, 1, 1000, 1000, 65535, 0.345530, 0.000205, 0.001483
64, 1, 1000, 1000, 65535, 0.329231, 0.000297, 0.001573
68, 1, 1000, 1000, 65535, 0.314367, 0.000228, 0.001832
72, 1, 1000, 1000, 65535, 0.289069, 0.000350, 0.001841
76, 1, 1000, 1000, 65535, 0.277151, 0.000387, 0.002068
80, 1, 1000, 1000, 65535, 0.269363, 0.000374, 0.001802
84, 1, 1000, 1000, 65535, 0.259238, 0.000703, 0.002120
88, 1, 1000, 1000, 65535, 0.248794, 0.000315, 0.001613
92, 1, 1000, 1000, 65535, 0.240996, 0.000249, 0.002103
96, 1, 1000, 1000, 65535, 0.227645, 0.000429, 0.002380
100, 1, 1000, 1000, 65535, 0.212889, 0.000615, 0.001965
104, 1, 1000, 1000, 65535, 0.204979, 0.000449, 0.002171
108, 1, 1000, 1000, 65535, 0.198457, 0.000308, 0.001999
112, 1, 1000, 1000, 65535, 0.195874, 0.000895, 0.002296
116, 1, 1000, 1000, 65535, 0.185968, 0.000409, 0.002197
120, 1, 1000, 1000, 65535, 0.183677, 0.001709, 0.002094
124, 1, 1000, 1000, 65535, 0.184927, 0.003793, 0.002528
128, 1, 1000, 1000, 65535, 0.182370, 0.000756, 0.002621
132, 1, 1000, 1000, 65535, 0.181855, 0.000470, 0.003031
136, 1, 1000, 1000, 65535, 0.181088, 0.000386, 0.005127
140, 1, 1000, 1000, 65535, 0.178224, 0.000555, 0.007250
144, 1, 1000, 1000, 65535, 0.164644, 0.000654, 0.009681
148, 1, 1000, 1000, 65535, 0.155026, 0.001172, 0.009734
152, 1, 1000, 1000, 65535, 0.148060, 0.000378, 0.009967
156, 1, 1000, 1000, 65535, 0.140044, 0.002426, 0.009953
160, 1, 1000, 1000, 65535, 0.140001, 0.000587, 0.009876
164, 1, 1000, 1000, 65535, 0.138165, 0.000621, 0.009914
168, 1, 1000, 1000, 65535, 0.136768, 0.000467, 0.010077
172, 1, 1000, 1000, 65535, 0.134088, 0.003238, 0.010032
176, 1, 1000, 1000, 65535, 0.129369, 0.000149, 0.010176
180, 1, 1000, 1000, 65535, 0.125611, 0.000391, 0.010247
184, 1, 1000, 1000, 65535, 0.121610, 0.000032, 0.010288
188, 1, 1000, 1000, 65535, 0.121210, 0.000584, 0.010336
192, 1, 1000, 1000, 65535, 0.119928, 0.000517, 0.011713
196, 1, 1000, 1000, 65535, 0.118074, 0.000390, 0.010313
200, 1, 1000, 1000, 65535, 0.114679, 0.001184, 0.010575
204, 1, 1000, 1000, 65535, 0.108373, 0.000585, 0.010917
208, 1, 1000, 1000, 65535, 0.104895, 0.000847, 0.010752
212, 1, 1000, 1000, 65535, 0.103253, 0.000099, 0.011013
216, 1, 1000, 1000, 65535, 0.104190, 0.001720, 0.010959
220, 1, 1000, 1000, 65535, 0.104346, 0.001203, 0.011123
224, 1, 1000, 1000, 65535, 0.102612, 0.000570, 0.010958
228, 1, 1000, 1000, 65535, 0.100294, 0.001269, 0.011285
232, 1, 1000, 1000, 65535, 0.099097, 0.004892, 0.011249
236, 1, 1000, 1000, 65535, 0.097498, 0.000388, 0.011128
240, 1, 1000, 1000, 65535, 0.097613, 0.001144, 0.011668
244, 1, 1000, 1000, 65535, 0.096393, 0.000825, 0.011978
248, 1, 1000, 1000, 65535, 0.094838, 0.000254, 0.011938
252, 1, 1000, 1000, 65535, 0.094123, 0.000528, 0.011530
