"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
4, 1, 1000, 1000, 65535, 5.077237, 0.009580, 0.001235
8, 1, 1000, 1000, 65535, 2.537024, 0.003868, 0.002038
12, 1, 1000, 1000, 65535, 1.689302, 0.001134, 0.001457
16, 1, 1000, 1000, 65535, 1.271724, 0.000687, 0.001745
20, 1, 1000, 1000, 65535, 1.015518, 0.000943, 0.001562
24, 1, 1000, 1000, 65535, 0.862735, 0.000554, 0.001765
28, 1, 1000, 1000, 65535, 0.737786, 0.000682, 0.001754
32, 1, 1000, 1000, 65535, 0.636959, 0.000314, 0.001856
36, 1, 1000, 1000, 65535, 0.567930, 0.000387, 0.001988
40, 1, 1000, 1000, 65535, 0.515651, 0.000360, 0.002670
44, 1, 1000, 1000, 65535, 0.469459, 0.000456, 0.002036
48, 1, 1000, 1000, 65535, 0.444100, 0.000516, 0.002019
52, 1, 1000, 1000, 65535, 0.398745, 0.000523, 0.002015
56, 1, 1000, 1000, 65535, 0.388511, 0.000451, 0.002427
60, 1, 1000, 1000, 65535, 0.345172, 0.000544, 0.001939
64, 1, 1000, 1000, 65535, 0.328676, 0.000453, 0.001846
68, 1, 1000, 1000, 65535, 0.313821, 0.000291, 0.002368
72, 1, 1000, 1000, 65535, 0.296208, 0.012480, 0.002276
76, 1, 1000, 1000, 65535, 0.276936, 0.000971, 0.002636
80, 1, 1000, 1000, 65535, 0.268918, 0.000440, 0.002449
84, 1, 1000, 1000, 65535, 0.258490, 0.000441, 0.002344
88, 1, 1000, 1000, 65535, 0.248315, 0.000584, 0.001956
92, 1, 1000, 1000, 65535, 0.240584, 0.000330, 0.002537
96, 1, 1000, 1000, 65535, 0.226700, 0.000412, 0.002542
100, 1, 1000, 1000, 65535, 0.212432, 0.000572, 0.002201
104, 1, 1000, 1000, 65535, 0.204886, 0.000456, 0.002552
108, 1, 1000, 1000, 65535, 0.198047, 0.000757, 0.002654
112, 1, 1000, 1000, 65535, 0.195500, 0.000572, 0.002676
116, 1, 1000, 1000, 65535, 0.186415, 0.000562, 0.002488
120, 1, 1000, 1000, 65535, 0.198487, 0.028584, 0.002896
124, 1, 1000, 1000, 65535, 0.285054, 0.053225, 0.003123
128, 1, 1000, 1000, 65535, 0.258468, 0.075210, 0.002671
132, 1, 1000, 1000, 65535, 0.191144, 0.012711, 0.034018
136, 1, 1000, 1000, 65535, 0.209511, 0.020534, 0.036807
140, 1, 1000, 1000, 65535, 0.245944, 0.038171, 0.002475
144, 1, 1000, 1000, 65535, 0.209525, 0.051721, 0.003009
148, 1, 1000, 1000, 65535, 0.194517, 0.031598, 0.003231
152, 1, 1000, 1000, 65535, 0.316034, 0.097627, 0.050930
156, 1, 1000, 1000, 65535, 0.214559, 0.056151, 0.048953
160, 1, 1000, 1000, 65535, 0.218231, 0.037289, 0.039026
164, 1, 1000, 1000, 65535, 0.193363, 0.031498, 0.040507
168, 1, 1000, 1000, 65535, 0.167060, 0.033762, 0.041490
172, 1, 1000, 1000, 65535, 0.172432, 0.027747, 0.043993
176, 1, 1000, 1000, 65535, 0.186523, 0.044373, 0.037169
180, 1, 1000, 1000, 65535, 0.183749, 0.034692, 0.028082
184, 1, 1000, 1000, 65535, 0.197468, 0.046442, 0.009811
188, 1, 1000, 1000, 65535, 0.188937, 0.056254, 0.007141
192, 1, 1000, 1000, 65535, 0.163508, 0.038761, 0.007437
196, 1, 1000, 1000, 65535, 0.164446, 0.062103, 0.045249
200, 1, 1000, 1000, 65535, 0.158378, 0.024323, 0.039263
204, 1, 1000, 1000, 65535, 0.156433, 0.050835, 0.042067
208, 1, 1000, 1000, 65535, 0.164371, 0.049820, 0.052354
212, 1, 1000, 1000, 65535, 0.170989, 0.029196, 0.042753
216, 1, 1000, 1000, 65535, 0.135210, 0.037487, 0.047282
220, 1, 1000, 1000, 65535, 0.121442, 0.024301, 0.046937
224, 1, 1000, 1000, 65535, 0.120570, 0.018042, 0.043392
228, 1, 1000, 1000, 65535, 0.125312, 0.037108, 0.044979
232, 1, 1000, 1000, 65535, 0.128110, 0.025006, 0.009785
236, 1, 1000, 1000, 65535, 0.169728, 0.077238, 0.046883
240, 1, 1000, 1000, 65535, 0.153138, 0.037152, 0.050409
244, 1, 1000, 1000, 65535, 0.130196, 0.051591, 0.044118
248, 1, 1000, 1000, 65535, 0.174013, 0.031350, 0.045364
252, 1, 1000, 1000, 65535, 0.143608, 0.065813, 0.057343
