"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 1000, 1000, 65535, 10.047088, 0.001954, 0.000697
1, 4, 1000, 1000, 65535, 10.036472, 0.001214, 0.000892
1, 6, 1000, 1000, 65535, 9.637947, 0.002425, 0.000972
1, 8, 1000, 1000, 65535, 8.356099, 0.001224, 0.000951
1, 10, 1000, 1000, 65535, 7.173897, 0.001870, 0.000968
1, 12, 1000, 1000, 65535, 6.289636, 0.001127, 0.000833
1, 14, 1000, 1000, 65535, 5.639909, 0.001195, 0.001060
1, 16, 1000, 1000, 65535, 5.165264, 0.002984, 0.001059
1, 18, 1000, 1000, 65535, 4.648439, 0.000895, 0.000829
1, 20, 1000, 1000, 65535, 4.159099, 0.001457, 0.000781
1, 22, 1000, 1000, 65535, 3.819963, 0.000497, 0.000824
1, 24, 1000, 1000, 65535, 3.575433, 0.000848, 0.001588
1, 26, 1000, 1000, 65535, 3.259446, 0.001076, 0.001626
1, 28, 1000, 1000, 65535, 3.083682, 0.000599, 0.001680
1, 30, 1000, 1000, 65535, 2.844261, 0.000597, 0.001552
1, 32, 1000, 1000, 65535, 2.675539, 0.000987, 0.001525
1, 34, 1000, 1000, 65535, 2.520885, 0.000482, 0.001257
1, 36, 1000, 1000, 65535, 2.424364, 0.000690, 0.001373
1, 38, 1000, 1000, 65535, 2.267504, 0.000202, 0.001576
1, 40, 1000, 1000, 65535, 2.157414, 0.000624, 0.000796
1, 42, 1000, 1000, 65535, 2.090807, 0.000752, 0.001502
1, 44, 1000, 1000, 65535, 2.014996, 0.001442, 0.000833
1, 46, 1000, 1000, 65535, 1.931973, 0.001310, 0.000847
1, 48, 1000, 1000, 65535, 1.840477, 0.001205, 0.000814
1, 50, 1000, 1000, 65535, 1.742809, 0.000781, 0.000788
1, 52, 1000, 1000, 65535, 1.679032, 0.001104, 0.001799
1, 54, 1000, 1000, 65535, 1.679725, 0.001609, 0.000826
1, 56, 1000, 1000, 65535, 1.587960, 0.001597, 0.000805
1, 58, 1000, 1000, 65535, 1.504628, 0.000469, 0.000846
1, 60, 1000, 1000, 65535, 1.504198, 0.000853, 0.002077
1, 62, 1000, 1000, 65535, 1.414500, 0.001023, 0.000827
1, 64, 1000, 1000, 65535, 1.415785, 0.000692, 0.000799
