"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 1000, 1000, 65535, 10.081816, 0.000776, 0.000982
1, 4, 1000, 1000, 65535, 5.037159, 0.001046, 0.001130
1, 6, 1000, 1000, 65535, 3.353349, 0.001810, 0.001054
1, 8, 1000, 1000, 65535, 2.515022, 0.000780, 0.000910
1, 10, 1000, 1000, 65535, 2.012036, 0.000501, 0.000885
1, 12, 1000, 1000, 65535, 1.677661, 0.000550, 0.001052
1, 14, 1000, 1000, 65535, 1.438708, 0.000412, 0.001094
1, 16, 1000, 1000, 65535, 1.259095, 0.000369, 0.000801
1, 18, 1000, 1000, 65535, 1.120200, 0.000392, 0.000797
1, 20, 1000, 1000, 65535, 1.007569, 0.000438, 0.000804
1, 22, 1000, 1000, 65535, 0.916518, 0.000606, 0.000811
1, 24, 1000, 1000, 65535, 0.840851, 0.000691, 0.000825
1, 26, 1000, 1000, 65535, 0.776364, 0.000513, 0.000824
1, 28, 1000, 1000, 65535, 0.721521, 0.000783, 0.000794
1, 30, 1000, 1000, 65535, 0.672593, 0.000640, 0.000911
1, 32, 1000, 1000, 65535, 0.630788, 0.000496, 0.000823
1, 34, 1000, 1000, 65535, 0.595420, 0.000735, 0.000837
1, 36, 1000, 1000, 65535, 0.561032, 0.000534, 0.000793
1, 38, 1000, 1000, 65535, 0.532115, 0.000820, 0.001116
1, 40, 1000, 1000, 65535, 0.505757, 0.000678, 0.000798
1, 42, 1000, 1000, 65535, 0.482712, 0.000532, 0.000778
1, 44, 1000, 1000, 65535, 0.462422, 0.000672, 0.000828
1, 46, 1000, 1000, 65535, 0.441609, 0.000690, 0.000794
1, 48, 1000, 1000, 65535, 0.428861, 0.000763, 0.000809
1, 50, 1000, 1000, 65535, 0.408769, 0.000851, 0.000841
1, 52, 1000, 1000, 65535, 0.392153, 0.000871, 0.000844
1, 54, 1000, 1000, 65535, 0.375934, 0.000823, 0.000838
1, 56, 1000, 1000, 65535, 0.371097, 0.000732, 0.000808
1, 58, 1000, 1000, 65535, 0.355492, 0.000760, 0.000788
1, 60, 1000, 1000, 65535, 0.339948, 0.001025, 0.000808
1, 62, 1000, 1000, 65535, 0.328680, 0.000913, 0.000810
1, 64, 1000, 1000, 65535, 0.318015, 0.000983, 0.000793
