"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 1000, 1000, 65535, 10.040026, 0.003410, 0.000867
1, 4, 1000, 1000, 65535, 5.012528, 0.000861, 0.000949
1, 6, 1000, 1000, 65535, 3.344649, 0.000426, 0.000955
1, 8, 1000, 1000, 65535, 2.507051, 0.000712, 0.000788
1, 10, 1000, 1000, 65535, 2.006172, 0.000743, 0.000953
1, 12, 1000, 1000, 65535, 1.671567, 0.000653, 0.000939
1, 14, 1000, 1000, 65535, 1.434716, 0.004056, 0.001030
1, 16, 1000, 1000, 65535, 1.254095, 0.000470, 0.001109
1, 18, 1000, 1000, 65535, 1.115029, 0.000479, 0.000977
1, 20, 1000, 1000, 65535, 1.003728, 0.000662, 0.000850
1, 22, 1000, 1000, 65535, 0.913438, 0.000456, 0.000945
1, 24, 1000, 1000, 65535, 0.837671, 0.000632, 0.000928
1, 26, 1000, 1000, 65535, 0.773506, 0.000617, 0.000953
1, 28, 1000, 1000, 65535, 0.718978, 0.000354, 0.000927
1, 30, 1000, 1000, 65535, 0.670139, 0.000499, 0.000928
1, 32, 1000, 1000, 65535, 0.628723, 0.000458, 0.000946
1, 34, 1000, 1000, 65535, 0.593690, 0.000638, 0.000948
1, 36, 1000, 1000, 65535, 0.559220, 0.000835, 0.000934
1, 38, 1000, 1000, 65535, 0.530451, 0.000700, 0.000944
1, 40, 1000, 1000, 65535, 0.504629, 0.001217, 0.000953
1, 42, 1000, 1000, 65535, 0.481326, 0.000725, 0.000983
1, 44, 1000, 1000, 65535, 0.460945, 0.000731, 0.000988
1, 46, 1000, 1000, 65535, 0.440184, 0.000819, 0.000988
1, 48, 1000, 1000, 65535, 0.427902, 0.000632, 0.000779
1, 50, 1000, 1000, 65535, 0.407652, 0.000583, 0.000978
1, 52, 1000, 1000, 65535, 0.391327, 0.000699, 0.000966
1, 54, 1000, 1000, 65535, 0.375112, 0.000816, 0.000947
1, 56, 1000, 1000, 65535, 0.370142, 0.000758, 0.001022
1, 58, 1000, 1000, 65535, 0.354817, 0.000778, 0.000972
1, 60, 1000, 1000, 65535, 0.338953, 0.000787, 0.000981
1, 62, 1000, 1000, 65535, 0.328111, 0.000867, 0.000985
1, 64, 1000, 1000, 65535, 0.317364, 0.000926, 0.000989
