"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 1000, 1000, 65535, 10.042343, 0.001889, 0.000878
1, 4, 1000, 1000, 65535, 5.006244, 0.000493, 0.001019
1, 6, 1000, 1000, 65535, 3.337770, 0.000710, 0.000962
1, 8, 1000, 1000, 65535, 2.505195, 0.001191, 0.001036
1, 10, 1000, 1000, 65535, 2.004382, 0.000958, 0.000815
1, 12, 1000, 1000, 65535, 1.674581, 0.001535, 0.000816
1, 14, 1000, 1000, 65535, 1.432241, 0.001151, 0.001051
1, 16, 1000, 1000, 65535, 1.254692, 0.000562, 0.000704
1, 18, 1000, 1000, 65535, 1.120486, 0.000686, 0.001074
1, 20, 1000, 1000, 65535, 1.010788, 0.000575, 0.000879
1, 22, 1000, 1000, 65535, 0.917939, 0.000945, 0.000860
1, 24, 1000, 1000, 65535, 0.842571, 0.001045, 0.000884
1, 26, 1000, 1000, 65535, 0.780126, 0.000592, 0.000852
1, 28, 1000, 1000, 65535, 0.721895, 0.001123, 0.000858
1, 30, 1000, 1000, 65535, 0.674077, 0.000728, 0.000845
1, 32, 1000, 1000, 65535, 0.629598, 0.000535, 0.000902
1, 34, 1000, 1000, 65535, 0.600725, 0.003293, 0.000754
1, 36, 1000, 1000, 65535, 0.565881, 0.000914, 0.000879
1, 38, 1000, 1000, 65535, 0.532374, 0.000676, 0.000843
1, 40, 1000, 1000, 65535, 0.518255, 0.000813, 0.000827
1, 42, 1000, 1000, 65535, 0.492744, 0.000947, 0.000887
1, 44, 1000, 1000, 65535, 0.460255, 0.000804, 0.000908
1, 46, 1000, 1000, 65535, 0.448313, 0.000642, 0.000863
1, 48, 1000, 1000, 65535, 0.436997, 0.000745, 0.000885
1, 50, 1000, 1000, 65535, 0.425408, 0.000729, 0.000959
1, 52, 1000, 1000, 65535, 0.408162, 0.000750, 0.000960
1, 54, 1000, 1000, 65535, 0.384671, 0.000886, 0.000967
1, 56, 1000, 1000, 65535, 0.377169, 0.000875, 0.000949
1, 58, 1000, 1000, 65535, 0.367628, 0.000666, 0.001036
1, 60, 1000, 1000, 65535, 0.354970, 0.000722, 0.000955
1, 62, 1000, 1000, 65535, 0.340832, 0.000721, 0.000980
1, 64, 1000, 1000, 65535, 0.323742, 0.000954, 0.000988
