"n_processes","n_threads","n_x","n_y","I_max","Average time","Standard deviation","Communication time"
1, 2, 3000, 3000, 3000, 4.148729, 0.002123, 0.011308
1, 4, 3000, 3000, 3000, 2.075209, 0.001449, 0.010178
1, 6, 3000, 3000, 3000, 1.380278, 0.000896, 0.009889
1, 8, 3000, 3000, 3000, 1.035673, 0.000984, 0.010207
1, 10, 3000, 3000, 3000, 0.828499, 0.000980, 0.008677
1, 12, 3000, 3000, 3000, 0.690737, 0.001074, 0.007640
1, 14, 3000, 3000, 3000, 0.592466, 0.000790, 0.008156
1, 16, 3000, 3000, 3000, 0.518418, 0.000808, 0.010301
1, 18, 3000, 3000, 3000, 0.460781, 0.000946, 0.010921
1, 20, 3000, 3000, 3000, 0.414777, 0.000977, 0.007634
1, 22, 3000, 3000, 3000, 0.377155, 0.000940, 0.007991
1, 24, 3000, 3000, 3000, 0.345724, 0.000952, 0.007667
1, 26, 3000, 3000, 3000, 0.319115, 0.001024, 0.007875
1, 28, 3000, 3000, 3000, 0.296537, 0.001002, 0.007631
1, 30, 3000, 3000, 3000, 0.276749, 0.001013, 0.007883
1, 32, 3000, 3000, 3000, 0.259539, 0.001078, 0.007633
1, 34, 3000, 3000, 3000, 0.244324, 0.001006, 0.007859
1, 36, 3000, 3000, 3000, 0.230704, 0.001036, 0.007588
1, 38, 3000, 3000, 3000, 0.218720, 0.001091, 0.007892
1, 40, 3000, 3000, 3000, 0.207705, 0.001060, 0.007770
1, 42, 3000, 3000, 3000, 0.197871, 0.001092, 0.007811
1, 44, 3000, 3000, 3000, 0.188956, 0.001098, 0.007620
1, 46, 3000, 3000, 3000, 0.180738, 0.001104, 0.007625
1, 48, 3000, 3000, 3000, 0.173299, 0.001111, 0.008483
1, 50, 3000, 3000, 3000, 0.166439, 0.001204, 0.007818
1, 52, 3000, 3000, 3000, 0.160066, 0.001258, 0.007664
1, 54, 3000, 3000, 3000, 0.154134, 0.001166, 0.007694
1, 56, 3000, 3000, 3000, 0.148754, 0.001231, 0.007723
1, 58, 3000, 3000, 3000, 0.143639, 0.001203, 0.007618
1, 60, 3000, 3000, 3000, 0.138920, 0.001235, 0.007685
1, 62, 3000, 3000, 3000, 0.134323, 0.001312, 0.007782
1, 64, 3000, 3000, 3000, 0.129808, 0.001242, 0.008780
